,Country,Region,Airways,Railways,Waterways,Energy,Carbon,Industrial
0,Canada,North America,403700000.0,49422.0,636,403700000.0,612084000.0,4.74
1,Norway,Europe,333833000.0,3848.0,1577,333833000.0,36731000.0,2.19
2,Turkmenistan,Central Asia,330507000.0,5113.0,1300,330507000.0,109037000.0,1.0
3,Luxembourg,Europe,310068000.0,271.0,37,310068000.0,11308000.0,2.87
4,United States,North America,304414000.0,293564.2,41009,304414000.0,5144361000.0,3.25
5,"Korea, South",East and Southeast Asia,242346000.0,3979.0,1600,242346000.0,686954000.0,5.09
6,Australia,Australia and Oceania,241004000.0,36064.0,2000,241004000.0,417870000.0,-0.55
7,Belgium,Europe,234216000.0,3602.0,2043,234216000.0,128247000.0,1.28
8,Russia,Central Asia,227898000.0,85494.0,102000,227898000.0,1848070000.0,4.9
9,Netherlands,Europe,219606000.0,3055.0,6237,219606000.0,214416000.0,4.93
10,Finland,Europe,216571000.0,5918.0,8000,216571000.0,41996000.0,2.77
11,Sweden,Europe,210882000.0,10910.0,2052,210882000.0,48144000.0,5.72
12,Kazakhstan,Central Asia,180726000.0,16636.0,43983,180726000.0,263689000.0,5.1
13,Austria,Europe,171299000.0,6123.0,358,171299000.0,65540000.0,6.77
14,Czechia,Europe,161972000.0,9548.0,664,161972000.0,99533000.0,3.3
15,Germany,Europe,161174000.0,39379.0,7467,161174000.0,726881000.0,3.61
16,Japan,East and Southeast Asia,147107000.0,27311.0,1770,147107000.0,1103234000.0,-4.33
17,Iran,Middle East,145540000.0,8483.5,850,145540000.0,646038000.0,3.21
18,Switzerland,Europe,137918000.0,5296.0,1292,137918000.0,38739000.0,7.91
19,Slovenia,Europe,134836000.0,1207.0,710,134836000.0,13553000.0,9.43
20,Ireland,Europe,133674000.0,1688.0,956,133674000.0,35475000.0,20.33
21,Slovakia,Europe,129665000.0,3627.0,172,129665000.0,32506000.0,2.46
22,Denmark,Europe,124163000.0,2682.0,400,124163000.0,33850000.0,5.25
23,Malaysia,East and Southeast Asia,123755000.0,1851.0,7200,123755000.0,254764000.0,5.65
24,Spain,Europe,122673000.0,15489.0,1000,122673000.0,280624000.0,4.03
25,United Kingdom,Europe,119894000.0,16390.0,3200,119894000.0,398084000.0,9.12
26,Poland,Europe,112831000.0,19461.0,3997,112831000.0,304040000.0,3.36
27,Italy,Europe,112606000.0,18475.0,2400,112606000.0,332041000.0,13.46
28,Hungary,Europe,108212000.0,7687.0,1622,108212000.0,48589000.0,6.64
29,Greece,Europe,108022000.0,2345.0,6,108022000.0,70163000.0,10.67
30,China,East and Southeast Asia,105687000.0,150000.0,27700,105687000.0,10773248000.0,8.22
31,Bulgaria,Europe,103924000.0,4029.0,470,103924000.0,38373000.0,1.72
32,Belarus,Europe,102558000.0,5528.0,2500,102558000.0,54695000.0,6.7
33,Portugal,Europe,101734000.0,2526.0,210,101734000.0,50370000.0,5.63
34,Lithuania,Europe,101651000.0,1911.0,441,101651000.0,14503000.0,8.58
35,Panama,Central America and the Caribbean,98946000.0,77.0,800,98946000.0,25263000.0,37.5
36,Serbia,Europe,98195000.0,3333.0,587,98195000.0,47735000.0,8.63
37,Croatia,Europe,89733000.0,2617.0,4714,89733000.0,16752000.0,9.11
38,Latvia,Europe,86645000.0,2216.0,300,86645000.0,8450000.0,1.93
39,Venezuela,South America,85829000.0,447.0,7100,85829000.0,103708000.0,-2.0
40,Mongolia,East and Southeast Asia,83045000.0,1815.0,580,83045000.0,22740000.0,-2.22
41,Ukraine,Europe,82571000.0,21733.0,1672,82571000.0,185686000.0,2.57
42,Turkey (Turkiye),Middle East,79126000.0,11497.0,1200,79126000.0,391792000.0,12.46
43,Argentina,South America,79083000.0,17866.0,11000,79083000.0,193205000.0,15.26
44,Thailand,East and Southeast Asia,76714000.0,4127.0,4000,76714000.0,305273000.0,3.34
45,Estonia,Europe,76329000.0,1441.0,335,76329000.0,4924000.0,7.13
46,Bosnia and Herzegovina,Europe,71815000.0,965.0,990,71815000.0,16209000.0,8.87
47,Romania,Europe,71736000.0,10628.0,1731,71736000.0,68746000.0,4.07
48,Uruguay,South America,66909000.0,1673.0,1600,66909000.0,6450000.0,5.87
49,Iraq,Middle East,63174000.0,2272.0,5279,63174000.0,143479000.0,-1.14
50,Paraguay,South America,62775000.0,30.0,3100,62775000.0,7896000.0,4.69
51,Mexico,North America,61597000.0,23389.0,2900,61597000.0,463739000.0,5.44
52,Brazil,South America,59444000.0,29849.9,50000,59444000.0,456670000.0,4.48
53,Uzbekistan,Central Asia,57709000.0,4642.0,1100,57709000.0,102965000.0,8.37
54,Costa Rica,Central America and the Caribbean,44899000.0,278.0,730,44899000.0,8115000.0,9.83
55,Ecuador,South America,42564000.0,965.0,1500,42564000.0,36051000.0,0.49
56,Moldova,Europe,40398000.0,1171.0,558,40398000.0,8114000.0,-0.67
57,Egypt,Africa,40063000.0,5085.0,3500,40063000.0,235137000.0,-1.09
58,Albania,Europe,38442000.0,424.0,41,38442000.0,3794000.0,16.0
59,Peru,South America,36465000.0,1854.4,8808,36465000.0,54996000.0,16.44
60,Vietnam,East and Southeast Asia,36392000.0,2600.0,47130,36392000.0,249929000.0,3.58
61,Kyrgyzstan,Central Asia,35059000.0,424.0,576,35059000.0,7880000.0,3.1
62,Colombia,South America,34703000.0,2141.0,24725,34703000.0,81007000.0,9.65
63,Fiji,Australia and Oceania,32901000.0,597.0,203,32901000.0,1691000.0,-8.34
64,Cuba,Central America and the Caribbean,32785000.0,8367.0,240,32785000.0,16478000.0,-6.75
65,Indonesia,East and Southeast Asia,29680000.0,8159.0,21579,29680000.0,563543000.0,3.42
66,Tajikistan,Central Asia,27651000.0,680.0,200,27651000.0,7643000.0,22.04
67,Bolivia,South America,27094000.0,3960.0,10000,27094000.0,17786000.0,9.56
68,Gabon,Africa,26786000.0,649.0,1600,26786000.0,2651000.0,3.2
69,Syria,Middle East,24567000.0,2052.0,900,24567000.0,26893000.0,-14.77
70,El Salvador,Central America and the Caribbean,24124000.0,12.5,422,24124000.0,7632000.0,9.47
71,India,South Asia,23231000.0,65554.0,14500,23231000.0,2314738000.0,10.27
72,Honduras,Central America and the Caribbean,19800000.0,699.0,465,19800000.0,8523000.0,20.05
73,Guatemala,Central America and the Caribbean,19411000.0,800.0,990,19411000.0,19041000.0,8.49
74,Philippines,East and Southeast Asia,19261000.0,77.0,3219,19261000.0,142282000.0,8.49
75,Sri Lanka,South Asia,17268000.0,1562.0,160,17268000.0,23939000.0,5.62
76,"Congo, Republic of the",Africa,16156000.0,510.0,1120,16156000.0,4523000.0,-7.91
77,Cambodia,East and Southeast Asia,13629000.0,642.0,3700,13629000.0,13844000.0,9.37
78,Mauritania,Africa,13558000.0,728.0,1086,13558000.0,4041000.0,-6.61
79,"Korea, North",East and Southeast Asia,12610000.0,7435.0,2250,12610000.0,18465000.0,1.0
80,Angola,Africa,11693000.0,2761.0,1300,11693000.0,19362000.0,-8.34
81,Zambia,Africa,11595000.0,3126.0,2250,11595000.0,6798000.0,4.18
82,Zimbabwe,Africa,11516000.0,3427.0,223,11516000.0,7902000.0,6.37
83,Ghana,Africa,11239000.0,947.0,1293,11239000.0,18093000.0,-0.8
84,Burma,East and Southeast Asia,10679000.0,5031.0,12800,10679000.0,31848000.0,-20.65
85,Bangladesh,South Asia,9917000.0,2460.0,8370,9917000.0,96180000.0,10.29
86,Senegal,Africa,9221000.0,906.0,1000,9221000.0,10696000.0,10.91
87,Benin,Africa,8468000.0,438.0,150,8468000.0,6903000.0,9.12
88,Nigeria,Africa,8466000.0,3798.0,8600,8466000.0,104494000.0,-0.47
89,Cote d'Ivoire,Africa,8225000.0,660.0,980,8225000.0,11880000.0,6.2
90,Mozambique,Africa,8107000.0,4787.0,460,8107000.0,7753000.0,-0.42
91,Sudan,Africa,8047000.0,7251.0,4068,8047000.0,17319000.0,-0.7
92,Mali,Africa,4396000.0,593.0,1800,4396000.0,5679000.0,1.01
93,Guinea,Africa,4133000.0,1086.0,1300,4133000.0,2981000.0,3.9
94,Togo,Africa,4113000.0,568.0,50,4113000.0,2244000.0,5.32
95,Tanzania,Africa,3334000.0,4097.0,1594,3334000.0,11491000.0,6.5
96,Uganda,Africa,2943000.0,1244.0,907,2943000.0,5841000.0,3.47
97,Madagascar,Africa,2307000.0,836.0,600,2307000.0,4218000.0,-21.56
98,Malawi,Africa,1809000.0,767.0,700,1809000.0,1542000.0,1.9
99,"Congo, Democratic Republic of the",Africa,1371000.0,4007.0,15000,1371000.0,2653000.0,7.78
